No,item,Quantity,price,Total,Credit
1,Firfir,1,180,180,
2,sandwich,1,170,170,
3,buna,2,50,100,
4,buna,2,50,100,
5,ertib,1,100,100,
6,ertib,1,100,100,
7,sandwich,1,170,170,
8,ertib,1,100,100,
9,ertib,1,100,100,
10,buna,1,50,50,
11,gimash wuha,1,30,30,
12,ertib,1,100,100,
13,gimash wuha,1,30,30,
14,shay,1,40,40,
15,ertib,1,100,100,
16,huletliter wuha,1,50,50,50
17,chips,1,100,100,
18,enkulal frfir,1,190,190,
19,buna,1,50,50,
20,keshir,1,50,50,
21,buna,1,50,50,
22,ertib,1,100,100,
23,buna,1,50,50,
24,ertib,2,100,200,
25,special ertib,1,150,150,
26,buna,1,50,50,
27,huletliter wuha,1,50,50,50
28,special ertib,1,150,150,
29,buna,1,50,50,
30,buna,1,50,50,
31,buna,1,50,50,50
32,ertib,1,100,100,
33,huletliter wuha,1,50,50,
34,enkulal frfir,1,190,190,
35,ertib,1,100,100,
36,buna,3,50,150,
37,ertib,1,100,100,100
38,huletliter wuha,1,50,50,50
39,shay,1,40,40,
40,chips,1,100,100,
41,shay,1,40,40,
42,buna,1,50,50,
43,ertib,1,100,100,
44,sandwich,1,170,170,
45,special ertib,1,150,150,
46,ertib,1,100,100,
47,shay,2,40,80,
48,dabo,1,20,20,
49,ertib,2,100,200,
50,keshir,1,50,50,
51,special ertib,1,150,150,
52,ertib,2,100,200,
53,ertib,4,100,400,
